Recipient,DI_dest_orgtype,DI_dest_ngotype,DI_dest_deliverychannel,destinationObjects_Organization.id
Foundation Together,Foundations,,NGOs and CSOs,3917
Foundation Vida Peru,Foundations,,NGOs and CSOs,4352
Four Homes of Mercy,NGOs,,NGOs and CSOs,2763
Foyer des Jeunes de Morne l'Hopital,NGOs,,NGOs and CSOs,6168
Foyer Maurice Sixto,Private individual/organisation,,NGOs and CSOs,3087
FPDO,NGOs,National NGO,NGOs and CSOs,3413
"Fracht Fwo, Inc",Private sector corporations,,,11979
Framtiden i våre hender,NGOs,,NGOs and CSOs,859
France,DAC governments,,Public Sector,4314
France Cooperation Internationale,DAC governments,,Public Sector,366
France Terre dâ€™Asile,NGOs,,,NA
France Terre d’Asile,NGOs,,NGOs and CSOs,877
Franciscan Missionary of Mary,Private individual/organisation,,NGOs and CSOs,1359
Franziskaner,Other,,Other,2961
Fray Rene Giroux Mission,Other,,Other,5680
"FRAZIMA, S.A.",Private sector corporations,,Other,1421
Free Fields Foundation,NGOs,,,10954
Freedom of Expression and of Association,NGOs,,NGOs and CSOs,4990
Freightco,Private sector corporations,,Other,1734
French Red Cross,Red Cross,,RCRC,2058
Freundschaftsbrucke Deutschland e.V.,NGOs,,NGOs and CSOs,5297
Freundschaftsbrucke-Kinder der Perestroika e.V,Other,,Other,16
Friedensdorf International,NGOs,,NGOs and CSOs,3775
Friends Foundation,Foundations,,NGOs and CSOs,5047
Friendship,NGOs,National NGO,NGOs and CSOs,2765
Friendship Luxembourg,NGOs,International NGO,NGOs and CSOs,6791
Front Line,NGOs,,NGOs and CSOs,1855
Frontier Organization for Reforms and Transformation,NGOs,Local NGO,NGOs and CSOs,8151
Frontier Primary Health Care,NGOs,,NGOs and CSOs,5038
Frontiers Ruwad Association,NGOs,,,3051
"Frontiers, Ruwad Association",Private individual/organisation,,NGOs and CSOs,NA
Frontline AIDS,NGOs,International NGO,NGOs and CSOs,1329
Frère des Hommes,NGOs,International NGO,NGOs and CSOs,512
FSS,Foundations,,NGOs and CSOs,3353
Ft. Bernard Kurera,Private individual/organisation,,NGOs and CSOs,76
Ft. Hubert Leeb,Private individual/organisation,,NGOs and CSOs,3214
Ft. Jakob Krinzinger,Private individual/organisation,,NGOs and CSOs,3217
Ft. Josef Schröger,Private individual/organisation,,NGOs and CSOs,3216
Ft. Karl Kuppelwieser,Private individual/organisation,,NGOs and CSOs,4007
Ft. Petrus Obermüller,Private individual/organisation,,NGOs and CSOs,3207
FTHS,Other,,Other,3237
Fuel Relief Fund,NGOs,,NGOs and CSOs,1
Full Gospel Assemblies,Private individual/organisation,,NGOs and CSOs,3962
Fundacion APY,Foundations,,NGOs and CSOs,3522
FUNDACION CIPPEC,Foundations,,NGOs and CSOs,3132
Fundacion de Beneficencia Capacitas,Foundations,,NGOs and CSOs,3424
Fundacion Imagina,Foundations,,NGOs and CSOs,4247
Fundacion para la Libertad de Prensa,NGOs,,NGOs and CSOs,3954
Fundacion Paz - Holandesa,Foundations,,NGOs and CSOs,2044
Fundacion Promocion Social de la Cultura,NGOs,International NGO,NGOs and CSOs,716
Fundación Acción Contra el Hambre,NGOs,International NGO,NGOs and CSOs,NA
"Fundación Alianza por Los Derechos, la Igualdad y  la Solidaridad Internacional",NGOs,International NGO,NGOs and CSOs,827
Fundación Amalaka,Foundations,,NGOs and CSOs,3833
Fundación AMEPBO,Other,,Other,3654
Fundación Antonio Restrepo Barco,Foundations,,NGOs and CSOs,4174
Fundación Apoyar,Foundations,,NGOs and CSOs,196
Fundación Ayuda en Acción Colombia,NGOs,Internationally affiliated NGO,NGOs and CSOs,9943
Fundación Entreculturas - Fe y Alegrí­a,NGOs,International NGO,NGOs and CSOs,NA
Fundación Halu Bienestar Humano,NGOs,Local NGO,NGOs and CSOs,7061
Fundación Jose Gabriel Iriarte Saudin,NGOs,Local/National NGO,NGOs and CSOs,11248
Fundación Mi Sangre,Foundations,,NGOs and CSOs,3325
Fundación Ojos del Mundo,NGOs,International NGO,NGOs and CSOs,7276
Fundación para las Relaciones Internacionales y el Diálogo Exterior,Academia/think/research,,NGOs and CSOs,590
Fundación Plan,NGOs,National NGO,NGOs and CSOs,NA
Fundación S4V,NGOs,,,11189
Fundación Scalabrini Bolivia,NGOs,National NGO,NGOs and CSOs,11847
Fundación SEMG-Solidaria,Foundations,,Other,12010
Fundación Tierra Viva,NGOs,Local/National NGO,NGOs and CSOs,10181
Fundación Vivienda Popular,NGOs,National NGO,NGOs and CSOs,11185
Funksjonshemmedes fellesorganisasjon,Private individual/organisation,,NGOs and CSOs,4957
Future of Orphans,NGOs,,NGOs and CSOs,4255
Future Pioneers for Empowereing Communities,NGOs,,,11350
FXB -  François-Xavier Bagnoud,NGOs,,NGOs and CSOs,3541
Fönix Special Rescue Team,Private individual/organisation,,NGOs and CSOs,3681
GAAC,Other,,Other,3645
Gabon,National government,,Public Sector,4842
Gamarra's Merchant Commission,Private sector corporations,,Other,4045
Gambia,National government,,Public Sector,5620
"Gambian Red Cross Society, The",Red Cross,,RCRC,2159
Gargaaar Relief and Development Organization,NGOs,,NGOs and CSOs,1542
GAVI Alliance,Other,,,4495
Gaza Community Mental Health Programme,NGOs,Local NGO,NGOs and CSOs,3179
Gaza Zakat Committee,National government,,Public Sector,2087
Gazze Destek DerneÁ„Ÿi (Gaza Support Association),NGOs,Local NGO,NGOs and CSOs,NA
Gazze Destek DerneÄŸi (Gaza Support Association),NGOs,,,NA
GCIDS,Other,,Other,4669
GDPI,Other,,Other,3911
GEA Society,Private individual/organisation,,NGOs and CSOs,5556
GEAD,NGOs,,NGOs and CSOs,1385
GECONKFOR/CIMIC,Other,,Other,115
Gedo Women Development Organization,Other,,Other,461
Gemeinnützige Entwicklungszusammenarbeit GmbH (GEZA),NGOs,,NGOs and CSOs,3635
Gender Education Empowerment and Leadership Organization,Other,,Other,1561
General Service Agency,NGOs,National NGO,NGOs and CSOs,4997
Generations without Qat,NGOs,National NGO,NGOs and CSOs,8135
Genesis Software,Private sector corporations,,Other,4520
Geneva Call,NGOs,International NGO,NGOs and CSOs,3583
Geneva Forum,UN Multi,,UN Multi,1381
Geneva Institute for Human Rights,Academia/think/research,,NGOs and CSOs,1991
Geneva International Centre for Humanitarian Demining,NGOs,International NGO,NGOs and CSOs,3299
Genre Paix et Developement,NGOs,National NGO,NGOs and CSOs,7051
GeoForschungsZentrum Potsdam,Academia/think/research,,NGOs and CSOs,4430
Geohazards International,NGOs,,NGOs and CSOs,2862
"GeoLogistics Services, Inc.",Private sector corporations,,Other,2208
Georg Dechentreiter Wohlfahrtsstiftung,Foundations,,NGOs and CSOs,4077
George Washington University,Academia/think/research,,NGOs and CSOs,9273
Georgia,National government,,Public Sector,3524
German Development Service,Other,,Other,213
German Doctors e.V.,NGOs,,NGOs and CSOs,7749
German Doctors for Developing Countries,NGOs,,NGOs and CSOs,3792
German Red Cross,Red Cross,,RCRC,2992
German Toilet Organization e.V.,NGOs,International NGO,NGOs and CSOs,7658
Germany,DAC governments,,Public Sector,4306
GESA -  Gesundheitshilfe Afghanistan e.V,Other,,Other,3259
GFC,Other,,Other,3999
GFZ German Research Centre,Academia/think/research,,NGOs and CSOs,7612
Ghana,National government,,Public Sector,5308
Ghana Red Cross Society,National Society,,,5159
GHESKIO Centers,Foundations,,NGOs and CSOs,2136
Ghiras Alnahda Organization,NGOs,Southern International NGO,NGOs and CSOs,7325
Ghirass For Society Development,NGOs,National NGO,NGOs and CSOs,10091
"Gift of the Givers Foundation (Pietermaritzburg, RSA)",Foundations,,NGOs and CSOs,3511
Gifts in kind International,NGOs,,NGOs and CSOs,3922
GIGnos (consulting company),Private sector corporations,,Other,2086
Give World,Private individual/organisation,,NGOs and CSOs,4128
GKST - Presbyterian Christian Church of Central Sulawesi,Private individual/organisation,,NGOs and CSOs,3280
Glencree Centre for Peace and Reconciliation,NGOs,,NGOs and CSOs,4483
Global 2000 of the Carter Centre,Academia/think/research,,NGOs and CSOs,2448
Global Aid Hand,NGOs,National NGO,NGOs and CSOs,6891
Global Aid Network,NGOs,,NGOs and CSOs,2939
Global Alliance for Improved Nutrition,UN Multi,,UN Multi,5112
Global Centre for the Responsibility to Protect,Academia/think/research,,NGOs and CSOs,595
Global Communities,NGOs,International NGO,NGOs and CSOs,7029
Global Compact,UN Multi,,UN Multi,4980
Global Earthquake Model Foundation,Undefined,,Other,6912
Global Editors Network,Private individual/organisation,,NGOs and CSOs,1940
Global Facility for Disaster Risk Reduction,Other multi,,Other multi,226
Global Family,NGOs,,NGOs and CSOs,8102
Global Fire Monitoring Centre,UN Multi,,UN Multi,4002
Global Forum for Media Development,Private individual/organisation,,NGOs and CSOs,383
Global Forum for the Defence of the Less Privileged,NGOs,,,10891
Global Forum on Migration and Development,Private individual/organisation,,NGOs and CSOs,2710
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled,,Other multi,1943
Global H20,NGOs,,NGOs and CSOs,5682
Global Health Foundation,Foundations,,NGOs and CSOs,3902
Global Hope Network International,NGOs,,NGOs and CSOs,3973
Global Human Rights Defence,NGOs,,NGOs and CSOs,7589
Global Humanitarian Forum,Private individual/organisation,,NGOs and CSOs,1323
Global Initiative to End All Corporal Punishment of Children,Other,,Other,4246
Global Links,Other,,Other,4863
Global Medic,Foundations,,NGOs and CSOs,6280
Global Network for Disaster Reduction,NGOs,International NGO,NGOs and CSOs,6520
Global Network of Civil Society Orgs,Private individual/organisation,,NGOs and CSOs,4951
Global One 2015,NGOs,,NGOs and CSOs,634
Global Partners,Other,,Other,4082
Global Public Policy Institute,Academia/think/research,,NGOs and CSOs,338
Global Reporting Initiative,Academia/think/research,,NGOs and CSOs,3659
Global Resource Services,NGOs,,NGOs and CSOs,229
Global Rights,NGOs,,NGOs and CSOs,3625
Global Youth Organization,NGOs,National NGO,NGOs and CSOs,6240
GlobalGiving,NGOs,,NGOs and CSOs,5217
GlobalMedic,NGOs,,NGOs and CSOs,2599
GMAC,Other,,Other,4690
GOAL,NGOs,International NGO,NGOs and CSOs,3431
GOAL | Concern Worldwide,NGOs,International NGO,NGOs and CSOs,NA
GOALPrime Organization Nigeria,NGOs,National NGO,NGOs and CSOs,9115
Gol-yome Rehabilitation and Development Organization,Other,,Other,303
Golweyne Relief and Rehabilitation,NGOs,Local NGO,NGOs and CSOs,3389
Good Neighbors Inc,,,,3046
Good Neighbours Inc,NGOs,International NGO,NGOs and CSOs,NA
Gorongosa Project,NGOs,International NGO,NGOs and CSOs,10115
GORTA,NGOs,,NGOs and CSOs,2888
Grand Challenges Canada,Foundations,,NGOs and CSOs,9272
Grant Foundation,Foundations,,NGOs and CSOs,NA
Grassroot Empowerment and Development Organization,NGOs,National NGO,NGOs and CSOs,6501
Grassroots Relief and Development Agency,NGOs,National NGO,NGOs and CSOs,6594
Great Commission Operation Mercy,NGOs,Local/National NGO,NGOs and CSOs,7429
Great Family Organization,Private individual/organisation,,NGOs and CSOs,1551
Greece,DAC governments,,Public Sector,4547
Greek Committee For International Democratic Solidarity,NGOs,,NGOs and CSOs,3600
Greek Orthodox Patriarchate of Antioch and all of the East,Undefined,,Other,6749
Green Belt Initiative,Foundations,,Other,8930
Green Concern for Development,NGOs,National NGO,NGOs and CSOs,8870
Green Cross,NGOs,,NGOs and CSOs,4689
Green Hope,NGOs,,NGOs and CSOs,2739
Greenshields Cowie,Private sector corporations,,Other,4084
Grenada,National government,,Public Sector,4596
GRET,NGOs,International NGO,NGOs and CSOs,3801
"GRONSUND, STEIN OVE",Private individual/organisation,,NGOs and CSOs,3732
Ground Truth Solutions,Academia/think/research,,NGOs and CSOs,9109
"Groupe Africain de Déminage, Développement et Environnement",NGOs,,,11232
"Groupe antiraciste dâ€™accompagnement, et de defense des étrangers et migrants",NGOs,,,NA
"Groupe antiraciste d’accompagnement, et de defense des étrangers et migrants",NGOs,,NGOs and CSOs,958
Groupe de Recherche et d'Echanges Technologiques,Private individual/organisation,,NGOs and CSOs,5589
Groupe de Recherche et de Réalisations pour le Développement Rural,NGOs,International NGO,NGOs and CSOs,5982
Groupe de Secours Catastrophes Francais,NGOs,,NGOs and CSOs,3754
Groupe dâ€™Action pour la Promotion de la Femme,NGOs,,,NA
Groupe d’Action pour la Promotion de la Femme,Other,,Other,4043
Groupe La Colombe,NGOs,National NGO,NGOs and CSOs,3960
Groupe unifié pour l'épanouissement des enfants et pour le développement d'Haiti,NGOs,,NGOs and CSOs,1119
GROUPE URD,Academia/think/research,,NGOs and CSOs,3867
Groupement des Artisans ruraux dâ€™INTADENE-GARI,NGOs,,,NA
Groupement des Artisans ruraux d’INTADENE-GARI,Other,,Other,725
Groupement Ingenieria Estrella,Other,,Other,5203
GRSP - Ghazni Rural Support Program - Afghanistan,NGOs,,NGOs and CSOs,1976
GRT,Other,,Other,2687
Grupo Col. - Suisse,Other,,Other,5272
Grupo Sofonias (Switzerland),Private sector corporations,,Other,9294
Gruppo per le Relazioni Transculturali,NGOs,International NGO,NGOs and CSOs,6194
Gruppo Volontariato Civile,NGOs,International NGO,NGOs and CSOs,NA
Gruppo Volontariato Civile (until 2018),,,,3233
Grünhelme,NGOs,,NGOs and CSOs,3578
Guatemala,National government,,Public Sector,4843
Guatemalan Red Cross,Red Cross,,RCRC,5083
Guidance Educational And Welfare Society,NGOs,Local NGO,NGOs and CSOs,11079
Guilde du Raid,NGOs,,NGOs and CSOs,2412
Guyana,National government,,Public Sector,2782
Guyana Red Cross Society,Red Cross,,RCRC,4776
Gynécologie sans frontières,NGOs,,NGOs and CSOs,4821
Gyro AS,Private sector corporations,,Other,5807
Habitat for Humanity Ethiopia,NGOs,Internationally affiliated NGO,NGOs and CSOs,8875
Habitat for Humanity Fiji,NGOs,Internationally affiliated NGO,NGOs and CSOs,8566
Habitat For Humanity Haiti,NGOs,,,9825
Habitat for Humanity International,NGOs,International NGO,NGOs and CSOs,3941
Habitat for Humanity New Zealand,NGOs,,,11551
Hadia Medical,NGOs,,NGOs and CSOs,195
Haiti,National government,,Public Sector,2321
Haiti Humanitarian Fund,CBPF,,UN Multi,7875
Haitian Health Foundation,NGOs,International NGO,NGOs and CSOs,5679
Haitian National Red Cross Society,Red Cross,,RCRC,4445
Haitian Women of Miami,Private sector corporations,,Other,5180
Hakima,Other,,Other,1589
Halo Partnership,NGOs,,NGOs and CSOs,5342
HALO Trust,NGOs,International NGO,NGOs and CSOs,4295
HALO Trust | Organisation for Mine Awareness and Reconstruction,NGOs,International NGO,NGOs and CSOs,NA
Halte Aux Mines Antipersonnel,NGOs,International NGO,NGOs and CSOs,3425
Hammer Forum e.V,NGOs,,NGOs and CSOs,4312
HAMOKED/CNTR DEF.OF INDIVIDUAL,NGOs,,NGOs and CSOs,3147
Hand by Hand Foundation,NGOs,National NGO,NGOs and CSOs,8168
Hand for Aid and Development,NGOs,International NGO,NGOs and CSOs,4708
"Hand in Hand Appeal, Syria",NGOs,International NGO,NGOs and CSOs,NA
Hand in Hand For Aid and Development,NGOs,International NGO,NGOs and CSOs,8666
Handicap Atlas Logistique,NGOs,,NGOs and CSOs,3709
Handicap International / Humanity & Inclusion,NGOs,International NGO,NGOs and CSOs,NA
Handicap International Belgium,NGOs,International NGO,NGOs and CSOs,8594
Handicap International France,NGOs,,NGOs and CSOs,8463
Handicap International Germany,NGOs,International NGO,NGOs and CSOs,8431
Handicap International Luxembourg,NGOs,International NGO,NGOs and CSOs,8432
Handicap International Switzerland,NGOs,,,8433
Handicap International USA,NGOs,,NGOs and CSOs,8435
Handicap International/ANS,NGOs,,,2825
Hands Off Cain,Other,,Other,749
Hands Together,NGOs,,NGOs and CSOs,584
Harikar NGO,NGOs,National NGO,NGOs and CSOs,6007
Harvard University,Academia/think/research,,NGOs and CSOs,4715
Haukari e.V,NGOs,,NGOs and CSOs,1922
Haut Comité de Secours libanais,NGOs,,NGOs and CSOs,6211
Hayat Foundation,NGOs,,NGOs and CSOs,6440
HBN,Private sector corporations,,Other,4508
HCC-Humanitäre Nothilfeprogramme weltweit,NGOs,,NGOs and CSOs,2905
HCS,Other,,Other,4883
Heal Africa,NGOs,National NGO,NGOs and CSOs,598
Health & Social Care Organization in Iraq,NGOs,National NGO,NGOs and CSOs,NA
Health Action Africa (South Sudan),NGOs,National NGO,NGOs and CSOs,10589
Health Action Aid,NGOs,National NGO,NGOs and CSOs,8931
Health Alliance International,NGOs,,NGOs and CSOs,6277
Health and Education Association for Development,NGOs,National NGO,NGOs and CSOs,10267
Health and Environment Development Society,Other,,Other,2697
Health and Human Rights Info,Private individual/organisation,,NGOs and CSOs,2678
Health And Nutrition Development Society,NGOs,,NGOs and CSOs,6449
Health and Social Care Organization in Iraq,,,,9748
Health Care and Relief Foundation,Undefined,,Other,8169
Health Communication Capacity Collaborative,NGOs,,NGOs and CSOs,6548
Health Education Agro-pastoral Liaison,NGOs,Local NGO,NGOs and CSOs,663
Health Equity Initiatives,NGOs,National NGO,NGOs and CSOs,7495
Health Equity Initiatives Sdn Bhd,NGOs,National NGO,NGOs and CSOs,NA
Health Limited,Private sector corporations,,Other,351
Health Link South Sudan,NGOs,National NGO,NGOs and CSOs,6931
Health Link South Sudan | Catholic Agency for Overseas Development,NGOs,,,NA
Health Partners International Canada,NGOs,,NGOs and CSOs,3479
Health Poverty Action,NGOs,International NGO,NGOs and CSOs,399
HEALTH UNLIMITED,NGOs,,NGOs and CSOs,1525
Health Work Committees,NGOs,National NGO,NGOs and CSOs,2912
"Health, Development, Information and Policy Institute",NGOs,,NGOs and CSOs,3448
Healthcare Foundation Organization,NGOs,National NGO,NGOs and CSOs,9337
Healthlink South Sudan,NGOs,National NGO,NGOs and CSOs,9194
Healthnet International - Malaria Leishmaniasis Control Programme,NGOs,,NGOs and CSOs,NA
HealthNet International Transcultural Psychosocial Organization,NGOs,International NGO,NGOs and CSOs,NA
HealthNet TPO,NGOs,International NGO,NGOs and CSOs,5351
